SITEID,Site,Bay,Habitat,LatDeg,LatMin,LongDeg,LongMin
SITE1,EelgrassPatches,ALB,Eelgrass,57,52.687,152,38.185
SITE2,CobblePoint,ALB,Eelgrass,57,52.92,152,37.543
SITE3,EelgrassPoint,ALB,Eelgrass,57,52.94,152,37.513
SITE4,LaminariaPoint,ALB,Laminaria,57,52.973,152,37.505
SITE5,Laminaria2,ALB,Laminaria,57,53.123,152,38.342
SITE6,BackBayEelgrass,ALB,Eelgrass,57,52.695,152,38.863
SITE7,WoodenBoat,ALB,Laminaria,57,52.81,152,38.822
SITE8,WhiteRock,ALB,Bare,57,52.23,152,38.851
SITE9,EelgrassWest,Cook,Eelgrass,57,46.756,152,15.784
SITE10,EelgrassNorth,Cook,Eelgrass,57,46.92,152,14.867
SITE11,LaminariaNorth,Cook,Laminaria,57,46.833,152,14.869
SITE12,BareNorth,Cook,Bare,57,46.628,152,15.136
SITE13,MiddleCove,Cook,Bare,57,46.531,152,15.357
SITE14,LaminariaEast,Cook,Laminaria,57,46.477,152,15.441
SITE15,EelgrassSouth,Cook,Eelgrass,57,46.144,152,16.6
SITE16,LaminariaSouth,Cook,Laminaria,57,46.171,152,16.6
SITE17,Holiday,Offshore,Offshore,,,,
SITE18,Piller,Offshore,Offshore,,,,
SITE19,WoodyIsland,Offshore,Offshore,,,,