FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL0215,2009,7,41,44,0.413,NA
BL0222,2009,7,36,40,0.4229,NA
BL0223,2009,7,39,43,0.6681,NA
BL0224,2009,7,39,43,0.5264,NA
BL0225,2009,7,32,35,0.3282,NA
BL0226,2009,7,35,39,0.4643,NA
BL0227,2009,7,39,43,0.655,NA
BL0228,2009,7,37,41,0.6422,NA
BL0229,2009,7,35,39,0.4798,NA
BL0230,2009,7,32,35,0.3168,NA
BL0231,2009,7,30,33,0.2892,NA
BL0232,2009,7,36,40,0.4597,NA
BL0233,2009,7,34,38,0.416,NA
BL0234,2009,7,43,46,0.8532,NA
BL0235,2009,7,39,42,0.6722,NA
BL0236,2009,7,34,38,0.3966,NA
BL0237,2009,7,33,37,0.3757,NA
BL0238,2009,7,31,33,0.3315,NA
BL0239,2009,7,40,43,0.6845,NA
BL0256,2006,8,64,69,2.2904,NA
BL0257,2006,8,64,69,2.8903,NA
BL0258,2006,8,59,64,1.8169,NA
BL0259,2006,8,60,65,2.0481,NA
BL0260,2006,8,60,65,2.1824,NA
BL0261,2006,8,61,66,2.3941,NA
BL0262,2006,8,61,66,2.2891,NA
BL0263,2006,8,60,65,1.9404,NA
BL0264,2006,8,58,63,1.8909,NA
BL0265,2006,8,72,84,5.5025,NA
BL0269,2006,8,69,75,3.6874,NA
BL0279,2006,8,81,87,5.794,NA
BL0363,2006,8,58,64,1.9371,NA
BL0821,2010,7,32,NA,0.3497,NA
BL0822,2010,7,38,41,0.6487,NA
BL0823,2010,7,30,33,0.2874,NA
BL0824,2010,7,30,33,0.2929,NA
BL0825,2010,7,33,37,0.3877,NA
BL0826,2010,7,34,38,0.4289,NA
BL0827,2010,7,37,41,0.5129,NA
BL0971,2012,7,37.02,40.08,0.4775,NA
BL2047,2013,7,43,47,0.7917,NA
BL2048,2013,7,46,51,0.8044,NA
BL2050,2013,7,50,55,1.4668,NA
BL2056,2013,7,41,44,0.5344,NA
BL2066,2013,7,49,54,0.9625,NA
BL2069,2013,7,48,53,0.9924,NA
BL2070,2013,7,49,54,1.1148,NA
BL2082,2013,7,50,54,0.7086,NA
BL2085,2013,7,45,49,0.5277,NA
BL2086,2013,7,48,52,0.4913,NA
BL2090,2013,8,64,69,2.4845,NA
BL2091,2013,8,77,83,4.6546,NA
BL2094,2013,8,67,71,3.0719,NA
BL2097,2013,8,78,85,4.2278,NA
BL2099,2013,8,74,80,3.9917,NA
BL2104,2013,8,73,78,2.6245,NA
BL2109,2013,8,80,85,4.568,NA
BL2115,2013,8,79,85,4.9591,NA
BL2128,2015,7,50,55,1.3465,NA
BL2132,2014,7,55,60,1.555,NA
BL2136,2014,7,78,83,2.0295,NA
BL2153,2014,7,55,60,1.604,NA
BL2155,2014,7,35,39,0.4158,NA
BL2157,2014,7,58,64,1.9216,NA
BL2161,2014,7,45,50,0.8655,NA
BL2162,2014,7,50,55,1.1983,NA
BL2167,2014,7,39,43,0.4964,NA
BL2447,2012,7,34,39,0.52046,NA
BL2450,2012,7,36,40,0.57485,NA
BL2452,2012,7,36,39,0.39087,NA
BL2453,2012,7,47,51,1.04952,NA
BL2464,2012,7,36,39,0.38005,NA
BL0208,2009,7,29,NA,0.2472,NA
BL0209,2009,7,39,42,0.2815,NA
BL2186,2018,8,70,75,2.8493,0.5367
BL2394,2019,7,38,41,0.6063,0.0624
BL2391,2019,7,36,39,0.537,0.046
BL2383,2019,7,43,47,0.7979,0.0668
BL2392,2019,7,45,48,0.9426,0.0691
BL2390,2019,7,45,49,0.8491,0.0606
BL2382,2019,7,43,46,0.8093,0.0469
BL2398,2019,7,42,45,0.7784,0.0431
BL2395,2019,7,47,51,1.1572,0.0575
BL2095,2013,8,68,73,2.965,0.1327
BL2419,2012,8,86,95,7.1277,0.31466
BL2399,2019,7,45,49,1.138,0.0482
BL2400,2019,7,46,50,0.9647,0.0407
BL2408,2019,7,47,51,1.2722,0.0537
BL2381,2019,7,55,59,1.8066,0.0737
BL2379,2019,7,47,50,1.135,0.0453
BL2380,2019,7,53,57,1.5448,0.0602
BL2397,2019,7,45,47,1.0045,0.0387
BL2409,2019,7,48,51,1.2497,0.0469
BL2405,2019,7,55,59,1.8065,0.0656
BL2402,2019,7,49,54,1.3598,0.0487
BL2387,2019,7,50,55,1.5055,0.0524
BL2401,2019,7,51,55,1.5006,0.0484
BL2396,2019,7,48,52,1.2034,0.0364
BL2234,2016,7,64,69,2.276,0.0666
BL0917,2012,8,61.08,65.54,2.2147,0.0648
BL2373,2019,8,72,79,5.675,0.1569
BL2370,2019,8,87,94,8.143,0.2232
BL2365,2019,8,82,88,7.175,0.1955
BL2389,2019,7,56,61,1.8202,0.0482
BL0105,2009,8,64,70,2.6719,0.0705
BL2423,2012,8,56,62,1.97272,0.05152
BL0901,2012,8,60,65.7,2.1543,0.0543
BL2403,2019,7,56,60,2.0813,0.0521
BL2350,2019,8,89,96,9.1822,0.227
BL2253,2016,7,64,68,2.5966,0.063
BL2369,2019,8,74,81,4.763,0.1149
BL0002,2009,8,80,85,5.6371,0.1356
BL2376,2019,8,91,98,8.3895,0.1959
BL2368,2019,8,83,89,5.666,0.1305
BL2088,2013,8,92,99,8.0242,0.1846
BL2393,2019,7,47,51,1.2638,0.029
BL2372,2019,8,86,93,7.268,0.1661
BL0906,2012,8,60.92,65.65,2.1432,0.0488
BL2388,2019,7,54,58,1.7661,0.0401
BL2252,2016,7,75,82,4.847,0.1091
BL0916,2012,8,65.31,70.27,2.1824,0.0491
BL2358,2019,8,95,NA,10.608,0.2323
BL2371,2019,8,89,96,8.876,0.1931
BL0905,2012,8,68.35,74.9,3.4103,0.0735
BL2317,2017,7,85,92,5.753,0.1237
BL0034,2009,8,78,84,5.5629,0.1196
BL2351,2019,8,74,79,4.5467,0.0974
BL2245,2016,7,71,76,4.065,0.087
BL2352,2019,8,91,98,8.8802,0.1892
BL2356,2019,8,84,87,5.8302,0.1241
BL2065,2013,7,46,51,0.8028,0.0168
BL2363,2019,8,85,92,7.218,0.1505
BL0101,2009,8,69,75,3.1646,0.0655
BL1008,2012,7,35.38,38.13,0.4158,0.0085
BL2374,2019,8,91,97,7.8179,0.1597
BL2079,2013,7,55,59,1.6085,0.0329
BL2248,2016,7,73,78,4.108,0.0833
BL2235,2016,7,60,65,2.2458,0.0453
BL2102,2013,8,73,78,3.6158,0.0728
BL2180,2018,8,100,108,11.5262,0.2301
BL0907,2012,8,56.78,61.11,1.7356,0.0346
BL0078,2009,7,76,82,4.9014,0.0977
BL2354,2019,8,104,111,14.8356,0.2941
BL0079,2009,8,65,71,2.5524,0.0503
BL2225,2015,8,103,111,11.601,0.2254
BL2171,2018,8,123,132,19.5949,0.3738
BL2362,2019,8,83,89,6.456,0.1225
BL2460,2012,7,49,53,0.98845,0.01855
BL2353,2019,8,108,116,17.3275,0.3244
BL2246,2016,7,80,86,5.553,0.1038
BL2355,2019,8,79,85,5.559,0.1036
BL2406,2019,7,57,62,2.2227,0.0414
BL2297,2016,7,69,74,3.2519,0.0605
BL0902,2012,8,64.8,70,2.726,0.0507
BL2444,2012,7,56,61,1.80906,0.03348
BL2359,2019,8,95,102,10.736,0.1981
BL2366,2019,8,72,78,4.263,0.0786
BL2360,2019,8,96,103,10.838,0.1993
BL2240,2016,7,63,68,2.4438,0.044
BL0129,2009,8,73,79,4.2042,0.0757
BL2301,2016,7,52,57,1.499,0.0269
BL0903,2012,8,65.8,71.1,2.7746,0.0498
BL2241,2016,7,68,74,3.1913,0.057
BL2005,2018,7,74,80,4.4322,0.0791
BL2222,2015,8,95,104,9.966,0.1758
BL2219,2015,8,90,98,7.54,0.1328
BL2449,2012,7,50,57,1.41392,0.0248
BL0980,2012,7,54.89,60.24,1.4823,0.026
BL2386,2019,7,60,65,2.304,0.0402
BL0908,2012,8,58.57,63.57,1.8876,0.0328
BL2289,2017,7,70,75,4.179,0.0727
BL0037,2009,8,79,85,5.3996,0.0937
BL2451,2012,7,35,39,0.37946,0.00657
BL2237,2016,7,58,63,1.81,0.0313
BL0978,2012,7,52.87,57.68,1.3384,0.0231
BL0081,2009,8,63,67,2.3096,0.0398
BL0995,2012,7,40.57,44.73,0.6945,0.012
BL2378,2019,8,81,87,6.5551,0.1122
BL2385,2019,7,44,48,3.1131,0.0529
BL0188,2009,8,72,77,4.0349,0.0683
BL0094,2009,8,69,73,3.1841,0.0537
BL2286,2017,7,70,75,3.697,0.0621
BL2255,2016,7,70,75,3.5575,0.0595
BL2345,2016,7,57,62,1.8977,0.0317
BL0086,2009,8,62,68,2.614,0.0436
BL0988,2012,7,40.92,43.75,0.7942,0.0132
BL0934,2012,8,84.85,91.66,6.5154,0.1084
BL2412,2008,8,87,92,5.6971,0.0943
BL0997,2012,7,43.27,46.88,0.8322,0.0138
BL0933,2012,8,66.4,72.62,2.8827,0.0475
BL2216,2015,8,98,107,10.486,0.1727
BL0904,2012,8,64.9,70.3,2.4927,0.041
BL2357,2019,8,107,115,16.0571,0.2632
BL2211,2018,8,88,95,7.6357,0.125
BL2233,2016,7,72,78,3.7,0.0605
BL2249,2016,7,63,68,2.595,0.0423
BL0151,2009,9,90,97,8.284,0.1341
BL2176,2018,8,119,129,19.813,0.3205
BL2203,2015,8,85,92,6.341,0.1026
BL2364,2019,8,108,119,15.705,0.2537
BL2407,2019,7,56,61,1.8473,0.0298
BL0915,2012,8,59.33,65.32,2.1306,0.0341
BL2320,2017,7,64,69,2.183,0.0346
BL2230,2014,8,112,120,14.412,0.2267
BL0941,2012,8,64.31,70.08,2.7081,0.0423
BL0148,2009,9,83,90,6.4323,0.0997
BL2298,2016,7,62,67,2.56,0.0393
BL2367,2019,8,133,154,34.736,0.5309
BL0088,2009,8,59,64,2.2355,0.0338
BL2336,2016,7,60,65,1.8817,0.0284
BL2254,2016,7,63,67,2.5542,0.0384
BL0964,2012,8,61.88,67.56,2.4389,0.0367
BL0918,2012,8,69.61,74.59,3.6199,0.0541
BL0944,2012,8,63.66,69.49,2.6052,0.0389
BL0113,2009,8,59,64,2.2461,0.0335
BL2243,2016,7,70,75,3.623,0.0537
BL2247,2016,7,72,78,4.1824,0.062
BL2431,2012,8,85,92,7.3316,0.1083
BL2169,2018,8,123,135,23.8667,0.351
BL2361,2019,8,99,105,11.846,0.1739
BL0029,2009,8,74,80,4.3075,0.0629
BL2347,2016,7,67,72,3.046,0.0444
BL2417,2012,8,69,75,3.08583,0.04474
BL2224,2015,8,95,107,10.147,0.1464
BL2017,2018,7,65,69,2.7145,0.0391
BL0103,2009,8,61,66,2.4087,0.0346
BL2318,2017,7,87,93,6.731,0.0965
BL1010,2012,7,41.92,46.38,0.6909,0.0099
BL2384,2019,7,63,67,2.8714,0.0406
BL0006,2009,8,57,63,2.0884,0.0295
BL1011,2012,7,43.37,47.35,0.8731,0.0122
BL2205,2015,8,93,100,8.048,0.1122
BL2206,2015,8,106,114,11.8575,0.1652
BL2214,2018,8,74,80,4.1738,0.0581
BL0149,2009,9,92,100,8.7481,0.1217
BL2098,2013,8,74,80,3.8584,0.0534
BL2291,2017,7,64,69,2.555,0.0353
BL0108,2009,8,78,84,5.3009,0.0733
BL2007,2018,7,87,94,7.3014,0.1009
BL2242,2016,7,52,57,1.402,0.0193
BL0170,2009,9,87,94,6.5871,0.0906
BL2212,2018,8,78,84,5.1038,0.07
BL2190,2018,8,90,96,8.7569,0.12
BL2181,2018,8,82,89,6.4435,0.0874
BL2302,2016,7,57,63,1.822,0.0247
BL2019,2018,7,54,60,1.615,0.0219
BL2427,2012,8,55,59,1.524,0.02065
BL2029,2018,7,95,103,9.2255,0.1248
BL2335,2016,7,68,73,3.036,0.041
BL2244,2016,7,65,70,3.054,0.0411
BL0952,2012,8,66.45,71.45,2.9491,0.0393
BL2000,2018,7,64,69,2.6393,0.0351
BL0153,2009,9,87,95,7.1952,0.0956
BL0083,2009,8,61,66,2.337,0.031
BL2045,2018,7,70,74,3.8338,0.0509
BL0080,2009,8,65,70,3.0644,0.0405
BL0107,2009,8,62,68,2.5579,0.0338
BL0095,2009,8,49,54,1.2804,0.0169
BL2305,2016,7,54,59,1.5837,0.0209
BL0031,2009,8,72,NA,4.7181,0.0619
BL0174,2009,9,62,67,2.5209,0.033
BL0950,2012,8,62.42,66.66,2.2847,0.0299
BL2313,2017,7,57,62,1.523,0.0199
BL0127,2009,8,72,78,4.3989,0.0574
BL0983,2012,7,42.53,46.56,0.6641,0.0087
BL2028,2018,7,78,84,4.961,0.0646
BL2413,2008,8,77,79,3.7526,0.0486
BL0126,2009,8,76,81,4.3411,0.0562
BL2346,2016,7,65,70,2.789,0.0357
BL2306,2016,7,50,54,1.2247,0.0157
BL0958,2012,7,45.87,49.9,0.9941,0.0127
BL2002,2018,7,61,66,2.4815,0.0317
BL2270,2017,8,82,88,6.146,0.0785
BL2404,2019,7,60,64,2.4155,0.0307
BL0154,2009,9,78,84,4.6764,0.0593
BL2014,2018,7,50,55,1.2373,0.0157
BL2375,2019,8,97,104,10.194,0.1289
BL2250,2016,7,62,67,2.493,0.0315
BL0109,2009,8,61,66,2.5828,0.0326
BL0014,2009,8,82,89,6.3889,0.0804
BL2004,2018,7,63,68,2.5774,0.0323
BL2221,2015,8,105,114,14.137,0.1765
BL2139,2014,7,53,57,1.5043,0.0187
BL0020,2009,8,70,NA,3.613,0.0449
BL0909,2012,8,67.23,73.45,2.9867,0.0369
BL0110,2009,8,63,68,2.8295,0.0349
BL0937,2012,8,58.44,64.26,2.0266,0.025
BL2442,2012,7,43,51,0.80869,0.00996
BL0160,2009,9,88,95,7.39,0.0908
BL2293,2017,7,58,64,2.019,0.0248
BL0953,2012,8,63.19,68.68,2.5587,0.0313
BL0035,2009,8,71,78,4.1294,0.0504
BL2183,2018,8,84,91,6.674,0.0813
BL0162,2009,9,85,92,7.2993,0.0887
BL0945,2012,8,75.76,82.04,4.3193,0.0524
BL0155,2009,9,61,66,2.5479,0.0306
BL0099,2009,8,68,73,3.624,0.0434
BL0164,2009,9,82,90,6.6719,0.0797
BL0940,2012,8,72.95,79.57,3.9803,0.0474
BL0947,2012,8,82.64,89.81,5.6175,0.0668
BL2108,2013,8,74,80,4.3732,0.052
BL2112,2013,8,60,65,2.1458,0.0255
BL0977,2012,7,38.03,41.98,0.4924,0.0058
BL0173,2009,9,81,89,6.0406,0.0717
BL0159,2009,9,93,102,8.6958,0.103
BL2323,2017,7,65,69,1.998,0.0236
BL2135,2014,7,37,42,0.5894,0.0069
BL2457,2012,7,39,43,0.56384,0.00661
BL0156,2009,9,79,74,5.4216,0.0635
BL0150,2009,9,93,100,9.321,0.1091
BL0122,2009,8,69,74,3.7421,0.0438
BL0082,2009,8,63,68,2.5242,0.0295
BL0104,2009,8,76,83,4.8718,0.0569
BL0004,2009,8,64,78,4.0544,0.0469
BL0106,2009,8,72,78,4.2299,0.0488
BL2463,2012,7,42,45,0.72095,0.00831
BL0951,2012,8,76.82,83.24,4.6684,0.0538
BL2223,2015,8,102,109,12.626,0.145
BL2137,2014,7,43,47,0.7118,0.0081
BL2030,2018,7,75,80,4.3343,0.0493
BL0973,2012,7,39.91,43.93,0.5381,0.0061
BL2258,2017,8,75,82,4.561,0.0518
BL0963,2012,8,76.7,85.33,5.206,0.0591
BL2025,2018,7,85,90,5.729,0.0649
BL0925,2012,8,61.35,67.55,2.3687,0.0268
BL0923,2012,8,73.77,80.3,4.1373,0.0468
BL2316,2017,7,60,65,2.445,0.0276
BL0032,2009,8,68,75,3.9128,0.0441
BL2043,2018,7,56,60,1.6247,0.0182
BL2415,2012,8,78,83,5.19379,0.0583
BL0959,2012,7,38.37,41.29,0.5616,0.0063
BL0167,2009,9,87,95,7.7031,0.0863
BL0191,2009,8,68,73,3.4115,0.0382
BL0187,2009,9,77,83,4.909,0.0549
BL0152,2009,9,81,87,5.4191,0.0603
BL0021,2009,8,70,75,3.7352,0.0414
BL2172,2018,8,110,118,14.2979,0.1583
BL0177,2009,9,71,77,3.9755,0.0437
BL0976,2012,7,39.18,43.66,0.5369,0.0059
BL0161,2009,9,83,91,6.3869,0.0696
BL2295,2017,7,58,63,1.822,0.0198
BL2290,2017,7,71,77,4.1499,0.045
BL0093,2009,8,62,67,2.6324,0.0285
BL0938,2012,8,62.83,67.81,2.4814,0.0268
BL2436,2012,8,58,63,2.0735,0.0222
BL0114,2009,8,64,69,2.9151,0.0312
BL2424,2012,8,54,57,1.48231,0.01579
BL2267,2017,8,74,80,3.364,0.0358
BL2410,2008,8,87,93,6.6451,0.0707
BL0946,2012,8,69.02,74.93,3.2998,0.0351
BL2322,2017,7,65,70,2.835,0.0301
BL2213,2018,8,77,82,4.554,0.0483
BL0046,2009,9,58,64,2.1837,0.023
BL2026,2018,7,82,87,5.7276,0.0603
BL2031,2018,7,83,89,5.9426,0.0625
BL2315,2017,7,63,68,2.712,0.0284
BL0190,2009,8,70,75,3.5603,0.0373
BL1007,2012,7,37.19,41.15,0.4396,0.0046
BL0996,2012,7,39.44,43.35,0.6616,0.0069
BL0111,2009,8,69,74,3.8478,0.04
BL0001,2009,8,77,82,4.1641,0.0432
BL0924,2012,8,63.86,69.16,2.7774,0.0288
BL0920,2012,8,51.49,55.95,1.3649,0.0141
BL0929,2012,8,69.54,75.56,3.7682,0.039
BL2443,2012,7,38,44,0.58094,0.006
BL2003,2018,7,64,69,2.5353,0.0261
BL0175,2009,9,78,85,5.0608,0.0519
BL2333,2016,7,64,73,2.664,0.0273
BL0102,2009,8,68,74,3.4119,0.0349
BL0157,2009,9,92,100,8.4596,0.0865
BL2199,2018,8,64,70,2.5847,0.0264
BL0956,2012,8,62.94,68.78,2.5383,0.0259
BL2185,2018,8,65,70,2.8485,0.029
BL0926,2012,8,69.57,75.93,3.2973,0.0335
BL0084,2009,8,75,82,4.6804,0.0475
BL0954,2012,8,67.52,74.45,3.3207,0.0337
BL2292,2017,7,61,66,2.444,0.0247
BL2027,2018,7,60,65,2.0577,0.0207
BL2210,2018,8,92,98,7.8224,0.0784
BL0198,2009,8,60,65,2.4986,0.025
BL2220,2015,8,99,107,10.629,0.1058
BL2326,2017,7,64,68,3.017,0.03
BL0943,2012,8,71.87,78.15,3.6905,0.0366
BL2238,2016,7,62,67,2.5306,0.0249
BL0974,2012,7,43.67,47.4,0.831,0.0082
BL0935,2012,8,82.34,88.56,5.6842,0.0559
BL0038,2009,8,67,73,3.2975,0.0324
BL2039,2018,7,41,45,0.5365,0.0053
BL2191,2018,8,87,95,8.377,0.0816
BL0178,2009,9,85,92,6.6156,0.0644
BL1001,2012,7,48.69,53.06,1.0839,0.0105
BL2158,2014,7,61,66,2.2528,0.0218
BL2173,2018,8,116,124,17.7135,0.1709
BL2296,2017,7,57,62,1.868,0.018
BL0961,2012,8,73.27,78.48,4.0421,0.0389
BL2411,2008,8,79,86,5.2603,0.0506
BL0193,2009,8,67,73,3.3795,0.0325
BL2148,2014,7,55,60,1.5225,0.0146
BL0939,2012,8,65.98,69.38,2.9127,0.0278
BL2328,2017,7,38,41,0.531,0.0051
BL0069,2009,7,33,36,0.3675,0.0035
BL2229,2014,8,96,104,8.986,0.0854
BL2314,2017,7,55,60,1.496,0.0142
BL2170,2018,8,130,139,22.1065,0.2094
BL2294,2017,7,58,63,2.0015,0.0189
BL0030,2009,8,65,70,2.6537,0.0251
BL2196,2018,8,69,75,2.7962,0.0264
BL0166,2009,9,75,81,4.337,0.0409
BL2042,2018,7,50,55,1.0296,0.0097
BL0116,2009,8,66,72,3.1886,0.03
BL2421,2012,8,60,65,2.40519,0.02261
BL2340,2016,7,68,73,3.114,0.0292
BL0948,2012,8,61.95,66.34,2.3895,0.0224
BL0100,2009,8,70,76,3.988,0.0372
BL0957,2012,8,65.65,71.09,2.9209,0.0272
BL2215,2015,8,86,92,6.721,0.0625
BL0009,2009,8,52,NA,1.8785,0.0174
BL0085,2009,8,61,66,2.4797,0.0229
BL2034,2018,7,67,73,3.0997,0.0286
BL2151,2014,7,42,47,0.7133,0.0065
BL0005,2009,8,52,56,1.2153,0.0111
BL0117,2009,8,70,76,3.7285,0.0338
BL0192,2009,8,59,65,2.284,0.0207
BL0134,2009,8,68,73,2.2484,0.0203
BL0112,2009,8,63,68,2.6487,0.0239
BL2299,2016,7,65,70,2.859,0.0257
BL2116,2013,8,103,112,12.5569,0.112
BL0928,2012,8,60.08,65.91,2.2276,0.0197
BL0970,2012,8,69.1,75.51,3.5962,0.0317
BL0027,2009,8,67,NA,3.0681,0.027
BL0171,2009,9,72,84,4.7861,0.0421
BL0115,2009,8,69,75,3.6856,0.0324
BL2337,2016,7,62,67,2.365,0.0207
BL2057,2013,7,51,56,1.2017,0.0105
BL2239,2016,7,68,74,3.419,0.0299
BL0097,2009,8,61,66,2.5789,0.0225
BL2033,2018,7,74,80,4.2301,0.0369
BL0181,2009,9,87,95,7.1296,0.062
BL2454,2012,7,49,55,1.09027,0.00942
BL2134,2014,7,51,56,1.2243,0.0106
BL2038,2018,7,64,69,2.8464,0.0245
BL0013,2009,8,78,85,5.1431,0.0442
BL0185,2009,9,90,97,7.9781,0.0685
BL0092,2009,8,60,65,2.3813,0.0204
BL1000,2012,7,40.74,44.7,0.7451,0.0063
BL0067,2009,7,42,NA,0.7793,0.0066
BL0969,2012,8,65.63,71.86,2.8973,0.0245
BL0040,2009,8,70,75,3.496,0.0294
BL2023,2018,7,72,86,3.3645,0.0283
BL0936,2012,8,80.4,86.27,4.814,0.0404
BL0179,2009,9,80,86,5.2372,0.0438
BL2032,2018,7,61,66,2.2955,0.0191
BL0024,2009,8,63,68,2.9333,0.0243
BL2138,2014,7,55,60,1.7441,0.0144
BL2011,2018,7,50,55,1.2367,0.0102
BL2310,2015,7,53,58,1.338,0.011
BL0962,2012,8,63.23,69.7,2.5094,0.0206
BL2080,2013,7,66,72,2.5744,0.021
BL2189,2018,8,57,62,1.9021,0.0155
BL0163,2009,9,78,85,5.07,0.0413
BL2041,2018,7,58,63,2.0273,0.0164
BL1012,2012,7,35.96,39.51,0.4301,0.0035
BL0018,2009,8,72,78,4.3821,0.0354
BL2131,2014,7,45,49,0.8343,0.0067
BL2377,2019,8,92,100,9.0355,0.0723
BL2175,2018,8,112,120,14.2195,0.1134
BL2036,2018,7,61,66,2.1277,0.0169
BL2192,2018,8,77,83,4.9431,0.0393
BL2342,2016,7,60,65,1.812,0.0143
BL0007,2009,8,57,61,1.8135,0.0143
BL2149,2014,7,50,55,1.0911,0.0086
BL2022,2018,7,54,68,1.5272,0.012
BL2037,2018,7,62,67,2.3225,0.0182
BL0993,2012,7,41.55,46.33,0.6461,0.005
BL2021,2018,7,58,63,1.9071,0.0148
BL0025,2009,8,66,71,3.0612,0.0238
BL0118,2009,8,65,70,3.1258,0.0242
BL2309,2015,7,47,52,0.59,0.0046
BL2188,2018,8,57,63,1.7083,0.0132
BL2432,2012,8,76,82,4.83871,0.03693
BL2217,2015,8,91,98,7.488,0.0571
BL0059,2009,7,42,45,0.7368,0.0056
BL2339,2016,7,62,67,2.335,0.0177
BL2448,2012,7,56,60,2.06507,0.0156
BL0044,2009,9,72,78,4.1436,0.0313
BL2288,2017,7,67,73,3.354,0.0253
BL2008,2018,7,96,103,9.5194,0.0718
