"","FISHID","Year","Month","Heatwave","CLADOCERA","GAMMARIDAE","HARPACTICOIDA","MYSIDAE","CAPRELLIDAE","CALANOIDA","ANNELIDA","OTHER"
"1","BL0081",2009,8,"Before",0,0,0,0,0,1,0,0
"2","BL0097",2009,8,"Before",0,0,0,0,0,1,0,0
"3","BL0258",2006,8,"Before",0,0,0,0,0,1,0,0
"4","BL0207",2009,8,"Before",1,0,0,0,0,0,0,0
"5","BL0719",2007,8,"Before",1,0,0,0,0,0,0,0
"6","BL0721",2007,8,"Before",1,0,0,0,0,0,0,0
"7","BL2088",2013,8,"Before",0,1,0,0,0,0,0,0
"8","BL2115",2013,8,"Before",0,1,0,0,0,0,0,0
"9","BL2119",2013,8,"Before",0,1,0,0,0,0,0,0
"10","BL2184",2018,8,"Between",0,1,0,0,0,0,0,0
"11","BL2431",2012,8,"Before",0,1,0,0,0,0,0,0
"12","BL2182",2018,8,"Between",0,0,1,0,0,0,0,0
"13","BL2275",2017,8,"Between",0,0,1,0,0,0,0,0
"14","BL2283",2017,8,"Between",0,0,1,0,0,0,0,0
"15","BL0137",2009,8,"Before",0,0,0,1,0,0,0,0
"16","BL2171",2018,8,"Between",0,0,0,1,0,0,0,0
"17","BL2173",2018,8,"Between",0,0,0,1,0,0,0,0
"18","BL2174",2018,8,"Between",0,0,0,1,0,0,0,0
"19","BL2177",2018,8,"Between",0,0,0,1,0,0,0,0
"20","BL2178",2018,8,"Between",0,0,0,1,0,0,0,0
"21","BL2180",2018,8,"Between",0,0,0,1,0,0,0,0
"22","BL2203",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"23","BL2207",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"24","BL2225",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"25","BL2228",2015,8,"Heatwave",0,0,0,1,0,0,0,0
"26","BL2356",2019,8,"Heatwave",0,0,0,1,0,0,0,0
"27","BL2214",2018,8,"Between",0,0,0,0,0,0,1,0
"28","BL2261",2017,8,"Between",0,0,0,0,0,0,1,0
"29","BL2267",2017,8,"Between",0,0,0,0,0,0,1,0
"30","BL2111",2013,8,"Before",0,0,0,0,0,0,1,0
"31","BL0726",2007,8,"Before",0.998030893536387,0,0,0,0,0,0,0.00196910646361325
"32","BL2097",2013,8,"Before",0,0,0,0,0,1,0,0
"33","BL0725",2007,8,"Before",0.994924702193481,0,0,0,0,0.00507529780651938,0,0
"34","BL0194",2009,8,"Before",0,0,0,0.00550084153325636,0,0,0,0.994499158466744
"35","BL0560",2008,8,"Before",0.00693444765723978,0,0,0,0,0.99306555234276,0,0
"36","BL0717",2007,8,"Before",0.992853466998644,0,0,0,0,0,0,0.0071465330013558
"37","BL0561",2008,8,"Before",0.0078206512446316,0,0,0,0,0.992179348755368,0,0
"38","BL0459",2006,8,"Before",0,0,0.991772380535291,0,0,0,0,0.00822761946470926
"39","BL2215",2015,8,"Heatwave",0,0,0,0,0.987045129116674,0.0129548708833259,0,0
"40","BL0463",2006,8,"Before",0,0,0.977881582406693,0,0.0221184175933074,0,0,0
"41","BL2370",2019,8,"Heatwave",0,0,0,0.976115412386243,0.0238845876137574,0,0,0
"42","BL2110",2013,8,"Before",0,0.974787052803146,0,0,0,0,0,0.0252129471968538
"43","BL2179",2018,8,"Between",0,0.0263175725619672,0,0.973682427438033,0,0,0,0
"44","BL0881",2010,8,"Before",0,0.972217793385012,0.0277822066149879,0,0,0,0,0
"45","BL0488",2006,8,"Before",0,0,0.972106510767242,0,0,0.0278934892327578,0,0
"46","BL0083",2009,8,"Before",0.00866413904771687,0,0.0209865666634647,0,0,0.970349294288818,0,0
"47","BL0127",2009,8,"Before",0,0.033740366872897,0,0.966259633127103,0,0,0,0
"48","BL2376",2019,8,"Heatwave",0.0086199422200294,0.0263957501732888,0,0.964984307606682,0,0,0,0
"49","BL2425",2012,8,"Before",0.00692995192040579,0,0.00393439024871811,0,0,0.962793615667216,0,0.0263420421636598
"50","BL2107",2013,8,"Before",0,0.966759964480329,0,0.0203494853950781,0,0,0,0.0128905501245927
"51","BL0544",2008,8,"Before",0,0,0.0419041150373967,0,0,0.958095884962603,0,0
"52","BL2419",2012,8,"Before",0,0.955876739376802,0.0202851170253274,0,0.00825042621324326,0,0,0.0155877173846272
"53","BL0085",2009,8,"Before",0.0167381556996037,0,0.0269279203988972,0,0,0.952901008822548,0,0.00343291507895126
"54","BL0724",2007,8,"Before",0.952634051003706,0,0.0473659489962937,0,0,0,0,0
"55","BL0203",2009,8,"Before",0,0,0,0,0,0.0474444444444444,0,0.952555555555556
"56","BL0730",2007,8,"Before",0.951945801512357,0,0.0447591820918217,0,0,0,0,0.00329501639582082
"57","BL0287",2006,8,"Before",0,0,0.950181923594517,0,0,0.0498180764054824,0,0
"58","BL2176",2018,8,"Between",0,0.0277586016332639,0,0.949943015142209,0,0,0,0.0222983832245276
"59","BL0542",2008,8,"Before",0,0.948617750276157,0,0,0,0,0,0.0513822497238433
"60","BL2372",2019,8,"Heatwave",0,0.0317966016991504,0,0.946058220889555,0,0,0,0.0221451774112944
"61","BL2364",2019,8,"Heatwave",0,0,0,0.944080808080808,0,0,0.0559191919191919,0
"62","BL0095",2009,8,"Before",0.00826867410782989,0,0.0397169062317537,0,0,0.9418009424864,0,0.0102134771740161
"63","BL0557",2008,8,"Before",0.017784874332217,0,0.0424975470833664,0,0,0.939717578584417,0,0
"64","BL2351",2019,8,"Heatwave",0,0,0,0.939511404526125,0,0,0,0.0604885954738752
"65","BL0559",2008,8,"Before",0,0,0.0609191728536395,0,0,0.93908082714636,0,0
"66","BL2204",2015,8,"Heatwave",0,0,0,0.938562399948181,0.0614376000518187,0,0,0
"67","BL2420",2012,8,"Before",0,0.934685270242944,0,0,0.0653147297570558,0,0,0
"68","BL0715",2007,8,"Before",0.928217327757205,0,0.0690927075959648,0,0.00268996464683012,0,0,0
"69","BL2358",2019,8,"Heatwave",0,0,0,0.928170920340294,0,0,0,0.0718290796597061
"70","BL0716",2007,8,"Before",0.925874864711682,0,0.052898779755628,0,0,0,0,0.0212263555326895
"71","BL0891",2010,8,"Before",0,0.0718370230925893,0,0,0,0,0,0.928162976907411
"72","BL0547",2008,8,"Before",0,0,0.0651065224357404,0,0,0.923465906853159,0,0.0114275707111008
"73","BL0549",2008,8,"Before",0,0,0.0153257392372065,0,0.0656092577101626,0.919065003052631,0,0
"74","BL0487",2006,8,"Before",0,0,0.918871212676071,0,0,0,0,0.0811287873239288
"75","BL0545",2008,8,"Before",0,0.917696378810682,0.0823036211893182,0,0,0,0,0
"76","BL0098",2009,8,"Before",0.0242376566426945,0,0.0573939734984507,0,0,0.914585031014303,0,0.00378333884455205
"77","BL2118",2013,8,"Before",0,0,0,0,0,0.913380985320114,0,0.0866190146798863
"78","BL0546",2008,8,"Before",0,0.911213789184146,0.0601270501120773,0,0.0286591607037767,0,0,0
"79","BL0889",2010,8,"Before",0,0.0906295904747377,0,0,0,0,0,0.909370409525262
"80","BL0195",2009,8,"Before",0,0.0614043256039831,0.0350802316710908,0,0,0,0,0.903515442724926
"81","BL2361",2019,8,"Heatwave",0,0.0140228871496401,0,0.902252808242406,0,0,0.0602343890142059,0.0234899155937482
"82","BL2426",2012,8,"Before",0.0502216756528867,0,0.0173793202818273,0,0,0.900725565791784,0,0.0316734382735026
"83","BL0722",2007,8,"Before",0.900513701391947,0.00976214685496788,0.0897241517530851,0,0,0,0,0
"84","BL0718",2007,8,"Before",0.896733465501452,0.0671218215431806,0.0361447129553673,0,0,0,0,0
"85","BL0550",2008,8,"Before",0,0.0667058941350362,0.0328724882520233,0,0,0.89585181363794,0,0.00456980397500065
"86","BL0555",2008,8,"Before",0.00298246669779877,0.00967862562175315,0.0961219149471029,0,0,0.891216992733345,0,0
"87","BL2116",2013,8,"Before",0,1,0,0,0,0,0,0
"88","BL0711",2007,8,"Before",0.890671592558385,0,0,0,0,0,0,0.109328407441615
"89","BL0731",2007,8,"Before",0.887528783161497,0,0.0850991644005595,0,0,0.0273720524379433,0,0
"90","BL2360",2019,8,"Heatwave",0,0,0,0.882641192109195,0.0834973990366834,0,0,0.0338614088541214
"91","BL2258",2017,8,"Between",0,0,0.123323493457486,0,0,0.876676506542514,0,0
"92","BL2270",2017,8,"Between",0,1,0,0,0,0,0,0
"93","BL2427",2012,8,"Before",0.112763309283068,0,0,0,0,0.874536074305985,0,0.0127006164109467
"94","BL0538",2008,8,"Before",0,0.873306089526704,0.126693910473296,0,0,0,0,0
"95","BL2422",2012,8,"Before",0.013578728971722,0.870098344728027,0.0469826571476179,0,0.0143900882762541,0.0456947201230489,0,0.00925546075332967
"96","BL0886",2010,8,"Before",0,0.0149484417675994,0.867405867688479,0,0.00288251227945599,0,0,0.114763178264465
"97","BL2183",2018,8,"Between",0,0.862732566396819,0,0,0.076054537707712,0.0612128958954694,0,0
"98","BL0543",2008,8,"Before",0,0.113779024523812,0.0258443262613171,0,0,0.86037664921487,0,0
"99","BL0551",2008,8,"Before",0.00372598769784579,0.0499487028144943,0.083647237928369,0,0,0.860259505580761,0,0.00241856597852991
"100","BL2415",2012,8,"Before",0,0.142191383595692,0,0.857808616404308,0,0,0,0
"101","BL2414",2012,8,"Before",0,0.857455461525432,0,0,0,0.142544538474568,0,0
"102","BL0084",2009,8,"Before",0.0623281982573099,0.00128211767846775,0.00689387578984206,0,0,0.854576345641251,0.0739597114970288,0.000959751136100131
"103","BL0114",2009,8,"Before",0.034510005844976,0,0.10524201066421,0,0.0062301942173187,0.854017789273496,0,0
"104","BL2354",2019,8,"Heatwave",0,0.0540576077698039,0.0159172668709331,0.853540259887518,0,0,0.0764848654717454,0
"105","BL2169",2018,8,"Between",0,0.136481188293361,0,0.853400945657885,0,0,0,0.0101178660487533
"106","BL0140",2009,8,"Before",0,0,0.0301566141717857,0.852600400153095,0,0,0,0.11724298567512
"107","BL2218",2015,8,"Heatwave",0,0,0,0,0.851219803161348,0.120504026245154,0,0.0282761705934984
"108","BL2197",2018,8,"Between",0,0.0533237052577883,0.0965478547008983,0,0,0,0,0.850128440041313
"109","BL0134",2009,8,"Before",0,0,0,0.849768280123584,0.150231719876416,0,0,0
"110","BL0136",2009,8,"Before",0,0,0.15134670365683,0,0,0,0,0.84865329634317
"111","BL0728",2007,8,"Before",0.842717603036863,0,0.129868270036806,0,0,0.0157342403582858,0,0.0116798865680445
"112","BL0552",2008,8,"Before",0.0041538628753214,0.00637765376315842,0.123259202892847,0,0,0.843943478755698,0,0.0222658017129752
"113","BL2371",2019,8,"Heatwave",0,0.0572563104241007,0,0.841633705134259,0.0123828285252069,0,0,0.0887271559164338
"114","BL2091",2013,8,"Before",0,0.838246186564975,0,0,0,0,0,0.161753813435025
"115","BL0885",2010,8,"Before",0,0.83687396815399,0.0376279086773828,0,0.0191678884256373,0,0,0.106330234742989
"116","BL0426",2006,8,"Before",0.0259886059246867,0,0.118996441098897,0,0,0.855014952976417,0,0
"117","BL0548",2008,8,"Before",0,0.0280807599492007,0,0,0.0822150482710828,0.825508979744362,0,0.0641952120353545
"118","BL2278",2017,8,"Between",0,0.817498545339316,0.182501454660684,0,0,0,0,0
"119","BL0562",2008,8,"Before",0.00194258935003457,0.0962829693135539,0.0833213946610371,0,0,0.817152889160441,0,0.00130015751493307
"120","BL0524",2006,8,"Before",0,0,0.121894683194837,0,0,0.0643043404729909,0,0.813800976332172
"121","BL0462",2006,8,"Before",0,0,0.813717478336534,0,0.186282521663466,0,0,0
"122","BL0883",2010,8,"Before",0,0.807262508512256,0.0296509790474358,0,0.0477314330056208,0,0,0.115355079434687
"123","BL2113",2013,8,"Before",0,0,0.192753623188406,0,0,0.807246376811594,0,0
"124","BL2429",2012,8,"Before",0.172783216350305,0,0.011274438598956,0,0,0.806290897052957,0,0.0096514479977816
"125","BL2259",2017,8,"Between",0,0.00519770149515101,0.189821872598556,0,0,0.804980425906292,0,0
"126","BL0723",2007,8,"Before",0.804352157386063,0,0.14428931054385,0,0,0.0513585320700871,0,0
"127","BL2428",2012,8,"Before",0.106033422098143,0.00482458499307904,0.0524606061308262,0,0,0.803891346483235,0,0.0327900402947165
"128","BL2090",2013,8,"Before",0.096166774520871,0,0.0627349939978893,0,0,0.802980838709116,0,0.0381173927721239
"129","BL2378",2019,8,"Heatwave",0,0,0.188873535285076,0.798845164891755,0,0,0,0.012281299823169
"130","BL2363",2019,8,"Heatwave",0,0.0302853438941038,0,0.793435296774922,0.160860995092582,0,0,0.0154183642383917
"131","BL2352",2019,8,"Heatwave",0,0.0616579417255093,0,0.792244947650353,0,0,0,0.146097110624138
"132","BL2437",2012,8,"Before",0,0,0,0,0,0,0,1
"133","BL0888",2010,8,"Before",0,0.144295768657737,0.0111892145681473,0,0,0,0,0.844515016774115
"134","BL2357",2019,8,"Heatwave",0,0.133073622605605,0,0.784756655835413,0.0124469657528918,0,0.0294466485946299,0.0402761072114608
"135","BL2368",2019,8,"Heatwave",0,0.0792224414697883,0,0.780838355287718,0.0425577302543864,0,0,0.0973814729881073
"136","BL2413",2008,8,"Before",0.0576679647788854,0,0.130361002895533,0,0,0.774718961908987,0,0.0372520704165946
"137","BL2212",2018,8,"Between",0,0.773810660883515,0.187565616120085,0.0386237229963997,0,0,0,0
"138","BL2369",2019,8,"Heatwave",0,0.09485546796038,0,0.772732632571929,0,0,0,0.132411899467691
"139","BL0884",2010,8,"Before",0,0.772514989273658,0.20579250293254,0,0,0,0,0.0216925077938014
"140","BL0720",2007,8,"Before",0.772337614004242,0,0.0295306062064836,0,0,0,0,0.198131779789274
"141","BL0099",2009,8,"Before",0,0,0.762135722060647,0,0,0.237864277939353,0,0
"142","BL2373",2019,8,"Heatwave",0,0,0,0.753357989774829,0,0,0.246642010225171,0
"143","BL2101",2013,8,"Before",0,0.749011368944087,0,0,0,0.250988631055913,0,0
"144","BL2432",2012,8,"Before",0,0.743476455453666,0.107419122753201,0,0,0.097711361835153,0,0.0513930599579798
"145","BL2202",2015,8,"Heatwave",0,0,0.0137803351422184,0.741781979680956,0.00973551089266018,0.0575391581849472,0.177163016099218,0
"146","BL2279",2017,8,"Between",0,0.732234842937516,0,0,0,0,0,0.267765157062484
"147","BL2192",2018,8,"Between",0.00463309592030174,0.0153952610524005,0.126252760463486,0,0,0,0,0.853718882563812
"148","BL2220",2015,8,"Heatwave",0,0,0,0.72662257650816,0,0,0.27337742349184,0
"149","BL0200",2009,8,"Before",0,0.0140252974134962,0,0.263735094332117,0,0,0,0.722239608254387
"150","BL2269",2017,8,"Between",0,0,0.718564784009236,0,0,0,0,0.281435215990764
"151","BL0556",2008,8,"Before",0.00157097374631478,0,0.280718814785083,0,0,0.716652554413601,0,0.00105765705500159
"152","BL2350",2019,8,"Heatwave",0,0,0.0387713280534361,0.708125473866004,0,0,0,0.25310319808056
"153","BL2190",2018,8,"Between",0,0.148629826352381,0,0.144283964730322,0,0,0.707086208917297,0
"154","BL0478",2006,8,"Before",0,0,0.703769289480842,0,0,0,0.231174241545731,0.0650564689734275
"155","BL2222",2015,8,"Heatwave",0,0,0,0.69567311216893,0,0,0.199114322767226,0.105212565063844
"156","BL2216",2015,8,"Heatwave",0,0,0,0.693309051665992,0.306690948334008,0,0,0
"157","BL2260",2017,8,"Between",0,0,0.692503497602913,0.0275419336684251,0.0897907194374506,0.180803733804604,0.00936011548660696,0
"158","BL2353",2019,8,"Heatwave",0,0,0,0.691580758298123,0,0,0,0.308419241701877
"159","BL0712",2007,8,"Before",0.690334849293619,0,0.257496284094839,0,0,0,0,0.0521688666115428
"160","BL0343",2006,8,"Before",0,0.687749317775271,0.312250682224729,0,0,0,0,0
"161","BL0260",2006,8,"Before",0,0.138221610596103,0.175092618896227,0,0,0.68668577050767,0,0
"162","BL2172",2018,8,"Between",0,0,0,0.146946900532434,0.168747901443807,0,0,0.68430519802376
"163","BL0144",2009,8,"Before",0,0.0377092208798127,0.680017113690366,0,0,0,0,0.282273665429821
"164","BL2268",2017,8,"Between",0,0.674323320490184,0,0,0,0,0.034296287732843,0.291380391776973
"165","BL2412",2008,8,"Before",0,0,0,0,0.167485252462254,0,0.665753553701827,0.166761193835919
"166","BL2175",2018,8,"Between",0,0,0,0.122481863306606,0.119660175639557,0,0,0.757857961053837
"167","BL2226",2015,8,"Heatwave",0,0.196366123756039,0,0.657054598570545,0,0,0,0.146579277673416
"168","BL0199",2009,8,"Before",0,0,0,0.656729109001498,0,0.05684415148161,0,0.286426739516892
"169","BL0727",2007,8,"Before",0.655235265557713,0,0.344764734442286,0,0,0,0,0
"170","BL2430",2012,8,"Before",0,0.646683607391098,0.343179284178493,0,0,0,0,0.0101371084304086
"171","BL2435",2012,8,"Before",0,0.645890598911256,0.0496833045966294,0,0.229598775098931,0.024259335234734,0,0.0505679861584502
"172","BL2424",2012,8,"Before",0,0.644168296129378,0.179359173411569,0,0,0.176472530459053,0,0
"173","BL2282",2017,8,"Between",0,0.641107229369966,0.2755270842852,0,0.0833656863448335,0,0,0
"174","BL2124",2013,8,"Before",0,0.146505818768715,0.635145681581686,0,0,0,0,0.2183484996496
"175","BL0521",2006,8,"Before",0,0.0773755656108598,0,0.291402714932127,0.631221719457014,0,0,0
"176","BL2265",2017,8,"Between",0,0.30254345342769,0,0,0.630542296881592,0,0.0144516122916203,0.0524626373990985
"177","BL2213",2018,8,"Between",0,0.0211337535618686,0.629090752093947,0,0,0,0.295095414903722,0.0546800794404628
"178","BL0296",2006,8,"Before",0,0,0,0.35237610725401,0.0193525320363393,0,0,0.62827136070965
"179","BL0729",2007,8,"Before",0.6280111942968,0,0.0336257057682269,0.0209984532012198,0,0,0,0.317364646733753
"180","BL0422",2006,8,"Before",0,0,0.359172364637924,0,0,0.6236047178465,0,0.0172229175155753
"181","BL2200",2015,8,"Heatwave",0,0,0,0.380991221937388,0,0,0.619008778062612,0
"182","BL2230",2014,8,"Heatwave",0,0,0,0,0.383186636857406,0,0,0.616813363142594
"183","BL0713",2007,8,"Before",0.616771270323928,0,0.35252573498288,0,0,0.0285594117878929,0,0.00214358290529935
"184","BL0554",2008,8,"Before",0.0666296095560534,0.0567021780454019,0.196970786317666,0,0.0322940520736822,0.611979698631201,0,0.0354236753759958
"185","BL2229",2014,8,"Heatwave",0,0,0,0,0,0,0.607411601915315,0.392588398084685
"186","BL2284",2017,8,"Between",0,0.270404478150957,0,0,0,0,0.125090285301553,0.60450523654749
"187","BL2096",2013,8,"Before",0,0.601504568681326,0,0,0,0,0,0.398495431318674
"188","BL2365",2019,8,"Heatwave",0,0.0169055685531588,0.0158509115875414,0.600078611114847,0.0294447133272434,0.0164538695415304,0,0.321266325875679
"189","BL2433",2012,8,"Before",0,0.59873257287706,0.29169835234474,0,0.1095690747782,0,0,0
"190","BL2120",2013,8,"Before",0,0.595189003436426,0.323024054982818,0,0,0,0,0.081786941580756
"191","BL0252",2006,8,"Before",0,0,0.591808579670315,0,0,0.408191420329685,0,0
"192","BL2362",2019,8,"Heatwave",0,0,0,0.591282894736842,0,0,0.305921052631579,0.102796052631579
"193","BL0295",2006,8,"Before",0,0.124971264367816,0,0.0887068965517241,0,0,0,0.78632183908046
"194","BL0204",2009,8,"Before",0,0,0,0,0.309030028252514,0,0,0.690969971747486
"195","BL2274",2017,8,"Between",0,0,0.211423444976077,0,0.579545454545455,0.209031100478469,0,0
"196","BL2280",2017,8,"Between",0,0,0.575138556776489,0,0.424861443223511,0,0,0
"197","BL2185",2018,8,"Between",0,0.426335692792358,0.573664307207642,0,0,0,0,0
"198","BL2436",2012,8,"Before",0,0,0.366398540017474,0,0,0.56590237926662,0.0412950488444691,0.0264040318714373
"199","BL0375",2006,8,"Before",0,0.347362741041555,0.036709807870626,0,0,0,0.053147015869721,0.562780435218098
"200","BL2355",2019,8,"Heatwave",0,0,0,0.55982905982906,0,0,0,0.44017094017094
"201","BL2099",2013,8,"Before",0,0.444341181330029,0,0,0,0,0.555658818669971,0
"202","BL0533",2006,8,"Before",0,0,0.257366976238094,0,0,0.601774799557609,0,0.140858224204297
"203","BL0126",2009,8,"Before",0,0,0,0.546056635600962,0,0,0,0.453943364399038
"204","BL2201",2015,8,"Heatwave",0,0,0,0.533946251768034,0.146570014144272,0,0.319483734087694,0
"205","BL2276",2017,8,"Between",0,0.80980719309395,0.0076450049040763,0,0,0,0.146812826369311,0.035734975632662
"206","BL2125",2013,8,"Before",0,1,0,0,0,0,0,0
"207","BL2196",2018,8,"Between",0,0,0.46977988361008,0,0,0.53022011638992,0,0
"208","BL2423",2012,8,"Before",0,0.523204667582125,0,0,0.0121007075541415,0.0384042275889683,0,0.426290397274765
"209","BL2271",2017,8,"Between",0,0,0.52053306445476,0,0,0.47946693554524,0,0
"210","BL2206",2015,8,"Heatwave",0,0,0,0.353565365025467,0,0,0,0.646434634974533
"211","BL2418",2012,8,"Before",0,0.250505928124651,0.0105544496134825,0,0,0.518063356663986,0,0.22087626559788
"212","BL0384",2006,8,"Before",0,0,0,0,0,0,0.514295676429568,0.485704323570432
"213","BL2181",2018,8,"Between",0,0.0825899615444452,0.404601622500058,0,0,0,0.512808415955497,0
"214","BL0293",2006,8,"Before",0,0.512570672440755,0,0,0,0,0.487429327559245,0
"215","BL2411",2008,8,"Before",0.0262337425754944,0.50769140091008,0,0,0.0143633914042997,0.451711465110126,0,0
"216","BL2210",2018,8,"Between",0,0.507670964235089,0.492329035764911,0,0,0,0,0
"217","BL2231",2014,8,"Heatwave",0,0.0828879594214247,0.184106973271285,0,0.112723451295511,0,0,0.62028161601178
"218","BL2219",2015,8,"Heatwave",0,0,0,0.506257192174914,0.0313650747986191,0,0,0.462377733026467
"219","BL2098",2013,8,"Before",0,0,0.494177243895444,0,0,0.505822756104556,0,0
"220","BL2209",2015,8,"Heatwave",0,0,0,0.502753817792849,0.231724663738365,0,0.265521518468786,0
"221","BL0558",2008,8,"Before",0.200891882450548,0.49616283131741,0,0,0,0,0,0.302945286232042
"222","BL2223",2015,8,"Heatwave",0,0,0,0.495958429561201,0.0722533817222039,0,0.431788188716595,0
"223","BL2434",2012,8,"Before",0,0.477805184222697,0.49541865791618,0,0,0,0,0.0267761578611227
"224","BL2170",2018,8,"Between",0,0.49307689315857,0,0,0,0,0,0.50692310684143
"225","BL2102",2013,8,"Before",0,0.493025798462551,0,0,0,0.506974201537449,0,0
"226","BL0476",2006,8,"Before",0,0,0.392448353828027,0,0,0,0.49220360033301,0.115348045838963
"227","BL2224",2015,8,"Heatwave",0,0,0,0.307442298634008,0.20357983984927,0,0.488977861516722,0
"228","BL0374",2006,8,"Before",0,0,0.206876544392687,0,0.0452598609090924,0.222740014690508,0.488662583975768,0.036460996031944
"229","BL2266",2017,8,"Between",0,0,0,0.486344935445105,0,0.353718570003659,0.159936494551236,0
"230","BL0286",2006,8,"Before",0,0,0.214433234965103,0,0.276247618991324,0.482650001699401,0,0.0266691443441716
"231","BL2375",2019,8,"Heatwave",0,0,0.0637558050182085,0.0490010357154789,0.393009755771608,0,0.0129222211085497,0.481311182386155
"232","BL2108",2013,8,"Before",0,0.316226794125797,0.126974231088944,0,0,0,0,0.556798974785259
"233","BL0714",2007,8,"Before",0.469344779230036,0,0.15824926724217,0,0,0.0469641558862907,0,0.325441797641503
"234","BL2104",2013,8,"Before",0.330655523641189,0,0.465329235473273,0,0,0.204015240885538,0,0
"235","BL2093",2013,8,"Before",0,0.0986069147434161,0.231138790458392,0,0.458338388026667,0.211915906771525,0,0
"236","BL2227",2015,8,"Heatwave",0,0,0.451305135379915,0.306758857482731,0.241936007137353,0,0,0
"237","BL2221",2015,8,"Heatwave",0,0,0,0.427814787357342,0,0,0.0874468784914014,0.484738334151257
"238","BL2367",2019,8,"Heatwave",0,0,0,0.439269348848118,0,0,0,0.560730651151882
"239","BL2416",2012,8,"Before",0,0.438384521492429,0.187697934879425,0,0,0,0.373917543628146,0
"240","BL0890",2010,8,"Before",0,0.66354098120933,0,0,0,0,0,0.33645901879067
"241","BL2439",2012,8,"Before",0.185026623494234,0,0.14769518779923,0,0,0.437238982348672,0,0.230039206357864
"242","BL2417",2012,8,"Before",0,0.181333156923872,0.431762222555062,0,0,0.267530493939295,0,0.119374126581772
"243","BL2208",2015,8,"Heatwave",0,0,0,0.426091424812957,0.119444216065116,0,0.428066677628874,0.0263976814930527
"244","BL2262",2017,8,"Between",0,0,0.390073999332759,0.414951000490746,0,0,0.194975000176495,0
"245","BL0256",2006,8,"Before",0.0459480227699432,0.154574449015795,0.32007110072579,0,0.0679502552013295,0,0.411456172287142,0
"246","BL2264",2017,8,"Between",0,0,0.234290984480641,0,0.406893348056873,0.326777198886179,0,0.0320384685763067
"247","BL0880",2010,8,"Before",0,0.369232089194607,0.405709226348965,0,0.156838291089058,0,0,0.0682203933673699
"248","BL2122",2013,8,"Before",0,0,0.349886621315193,0.106349206349206,0.143310657596372,0,0,0.400453514739229
"249","BL0339",2006,8,"Before",0,0.397285530320458,0.303095466871333,0,0,0,0.299619002808209,0
"250","BL0553",2008,8,"Before",0,0.0933076287408336,0.391813709844572,0,0,0.330102535347668,0,0.184776126066926
"251","BL2421",2012,8,"Before",0,0.381890423207265,0.0353229488717177,0,0,0,0.218614413703725,0.364172214217292
"252","BL2205",2015,8,"Heatwave",0,0,0,0.099945919737431,0,0,0.317838094882888,0.582215985379681
"253","BL2277",2017,8,"Between",0,0.716661727419408,0,0,0,0,0,0.283338272580592
"254","BL2089",2013,8,"Before",0,0.365279910651961,0.27031271813486,0,0,0.364407371213179,0,0
"255","BL0259",2006,8,"Before",0,0.247923690039355,0.351460095675363,0,0,0,0.0946332788879256,0.305982935397356
"256","BL2366",2019,8,"Heatwave",0,0.0702108726056525,0.0355261356148761,0.350649741516144,0.295403108065201,0.237725395220023,0,0.0104847469781036
"257","BL0887",2010,8,"Before",0.016603914181057,0,0.32885852433281,0.0133647305075876,0.0390057561486133,0.214351941391941,0.0133647305075876,0.374450402930403
"258","BL0129",2009,8,"Before",0,0.26958766808699,0.228574961263903,0,0.301387582314205,0,0,0.200449788334901
"259","BL0145",2009,8,"Before",0.0614972916706789,0.0690791589142433,0,0,0.256120038213191,0.0792887623101317,0,0.534014748891755
